State,2019,2020,Point Increase
Alabama,680,686,6
Alaska,707,714,7
Arizona,696,706,10
Arkansas,683,690,7
California,708,716,8
Colorado,718,725,7
Connecticut,717,723,6
Delaware,701,710,9
District of Columbia,703,713,10
Florida,694,701,7
Georgia,682,689,7
Hawaii,723,727,4
Idaho,711,720,9
Illinois,709,716,7
Indiana,699,707,8
Iowa,720,726,6
Kansas,711,717,6
Kentucky,692,698,6
Louisiana,677,684,7
Maine,715,721,6
Maryland,704,712,8
Massachusetts,723,729,6
Michigan,706,714,8
Minnesota,733,739,6
Mississippi,667,675,8
Missouri,701,707,6
Montana,720,726,6
Nebraska,723,728,5
Nevada,686,695,9
New Hampshire,724,729,5
New Jersey,714,721,7
New Mexico,686,694,8
New York,712,718,6
North Carolina,694,703,9
North Dakota,727,730,3
Ohio,705,711,6
Oklahoma,682,690,8
Oregon,718,727,9
Pennsylvania,713,720,7
Rhode Island,713,719,6
South Carolina,681,689,8
South Dakota,727,731,4
Tennessee,690,697,7
Texas,680,688,8
Utah,716,723,7
Vermont,726,731,5
Virginia,709,717,8
Washington,723,730,7
West Virginia,687,695,8
Wisconsin,725,732,7
Wyoming,712,719,7
